Number,Hex value,Name_EN,Type
10,19 27,Classic Jeans,Bottom
11,1A 27,Khaki Chinos,Bottom
27,2A 27,Leather Shorts,Bottom
28,2B 27,Skinny Jeans (Black),Bottom
29,2C 27,Denim Miniskirt,Bottom
30,2D 27,Plaid Miniskirt,Bottom
47,3E 27,Bondage Pants (Black),Bottom
48,3F 27,Skirt Bondage Combo,Bottom
49,40 27,Bondage Half-pants,Bottom
69,54 27,Bandage Pants,Bottom
70,55 27,Red Two-tier Skirt,Bottom
108,7B 27,Youth's March,Bottom
109,7C 27,Young Folks,Bottom
110,7D 27,When You're in Love,Bottom
111,7E 27,Love in a Heartbeat,Bottom
141,9C 27,Angel Frill Skirt,Bottom
142,9D 27,Citrus Shorts,Bottom
143,9E 27,Sparkling Capris,Bottom
144,9F 27,Ribbon Cargos,Bottom
164,B3 27,Inazuma,Bottom
165,B4 27,Hannya,Bottom
196,D3 27,Black Jeans,Bottom
197,D4 27,Brown Jeans,Bottom
198,D5 27,Skinny Jeans (Blue),Bottom
220,EB 27,Won't Stop,Bottom
221,EC 27,Don't Stop,Bottom
222,ED 27,Camouflage,Bottom
223,EE 27,Darkness,Bottom
240,FF 27,Pi-Face's Jeans,Bottom
