Number,Hex value,Name_EN,Description
343,43 75,(CD) Track 1,"Track 01: ""Underground"""
344,44 75,(CD) Track 2,"Track 02: ""Calling"""
345,45 75,(CD) Track 3,"Track 03: ""Imprinting""
Tap your tunes in the Items Menu to listen.
When you're out to change your mind..."
346,46 75,(CD) Track 4,"Track 04: ""Game Over"""
347,47 75,(CD) Track 5,"Track 05: ""Detonation"""
348,48 75,(CD) Track 6,"Track 06: ""SHIBUYA"""
349,49 75,(CD) Track 7,"Track 07: ""Fighting for Freedom""
Tap your tunes in the Items Menu to listen.
When you're hungry for a rush..."
350,4A 75,(CD) Track 8,"Track 08: ""Long Dream"""
351,4B 75,(CD) Track 9,"Track 09: ""Hybrid"""
352,4C 75,(CD) Track 10,"Track 10: ""サムデイ"" (Someday)"
353,4D 75,(CD) Track 11,"Track 11: ""オワリハジマリ"" (OWARI-HAJIMARI)
Tap your tunes in the Items Menu to listen.
When you're keen on lyrics..."
354,4E 75,(CD) Track 12,"Track 12: ""Psychedelic""
Tap your tunes in the Items Menu to listen.
When you're hot for beats..."
355,4F 75,(CD) Track 13,"Track 13: ""ハイブリッド"" (Hybrid)"
356,50 75,(CD) Track 14,"Track 14: ""NOISY NOISE""
Tap your tunes in the Items Menu to listen.
When you feel a need for speed..."
357,51 75,(CD) Track 15,"Track 15: ""Satisfy""
Tap your tunes in the Items Menu to listen.
When you feel like climbing to the very top..."
358,52 75,(CD) Track 16,"Track 16: ""Make or Break""
Tap your tunes in the Items Menu to listen.
When you have an appetite for fantasy..."
359,53 75,(CD) Track 17,"Track 17: ""Give Me All Your Love"""
360,54 75,(CD) Track 18,"Track 18: ""ツィスター"" (Twister)"
361,55 75,(CD) Track 19,"Track 19: ""Someday"""
362,56 75,(CD) Track 20,"Track 20: ""オーパーツ"" (Ooparts)"
363,57 75,(CD) Track 21,"Track 21: ""Twister-remix"""
364,58 75,(CD) Track 22,"Track 22: ""Dancer in the Street"""
365,59 75,(CD) Track 23,"Track 23: ""Junk Garage"""
366,5A 75,(CD) Track 24,"Track 24: ""Slam Brothers"""
367,5B 75,(CD) Track 25,"Track 25: ""Let's Get Together"""
368,5C 75,(CD) Track 26,"Track 26: ""Twister"""
369,5D 75,(CD) Track 27,"Track 27: ""Amnesia"""
370,5E 75,(CD) Track 28,"Track 28: ""Forebode"""
371,5F 75,(CD) Track 29,"Track 29: ""Rush Hour"""
372,60 75,(CD) Track 30,"Track 30: ""Despair"""
373,61 75,(CD) Track 31,"Track 31: ""It's So Wonderful"""
374,62 75,(CD) Track 32,"Track 32: ""Economical Shoppers"""
375,63 75,(CD) Track 33,"Track 33: ""Black Market"""
376,64 75,(CD) Track 34,"Track 34: ""It Is Fashionable"""
377,65 75,(CD) Track 35,"Track 35: ""Calling (1960s)""
Tap your tunes in the Items Menu to listen.
When you're hankering for nostalgia..."
378,66 75,(CD) Track 36,"Track 36: ""Three Minutes Clapping""
Tap your tunes in the Items Menu to listen.
When more cowbell won't cure the fever..."
379,67 75,(CD) Track 37,"Track 37: ""Three Minutes Clapping (Live)""
Tap your tunes in the Items Menu to listen.
When the world just isn't clicking..."
380,68 75,(CD) Track 38,"Track 38: ""Game Over (Busy Dizzy and Lazy)""
Tap your tunes in the Items Menu to listen.
When you sense an impending rampage..."
381,69 75,(CD) Track 39,"Track 39: ""Déjà vu""
Tap your tunes in the Items Menu to listen.
When your memory plays tricks on you..."
382,6A 75,(CD) Track 40,"Track 40: ""Déjà vu (Discoteque)""
Tap your tunes in the Items Menu to listen.
When your feet are itching to dance..."
383,6B 75,(CD) Track 41,"Track 41: ""Jump Over Yourself""
Tap your tunes in the Items Menu to listen.
When you just should've known better..."
384,6C 75,(CD) Track 42,"Track 42: ""サムデイ (Unplugged)"" (Someday)
Tap your tunes in the Items Menu to listen.
When it's peace and quiet you pine for..."
385,6D 75,(CD) Track 43,"Track 43: ""OWARI-HAJIMARI""
Tap your tunes in the Items Menu to listen.
When you're aching for connection..."
386,6E 75,(CD) Track 44,"Track 44: ""Twister (Gang Mix)""
Tap your tunes in the Items Menu to listen.
When you require kung fu to the heart..."
387,6F 75,(CD) Track 45,"Track 45: ""Twister (That Power is Yet Unknown)""
Tap your tunes in the Items Menu to listen.
When you'd kill for a little kick start..."
388,70 75,(CD) Track 46,"Track 46: ""ハイブリッド (New born)"" (Hybrid)
Tap your tunes in the Items Menu to listen.
When you're looking for a clean state..."
389,71 75,(CD) Track 47,"Track 47: ""Transformation""
Tap your tunes in the Items Menu to listen.
When you're dying for change..."
