Number,Hex value,Name_EN
281,20 4E,Hamburger
282,21 4E,Double Burger
283,22 4E,French Fries
284,23 4E,Hot Dog
285,24 4E,Special Dog
286,25 4E,Donuts
287,26 4E,Muffin Set
288,27 4E,Nuggets
289,28 4E,Salad
290,29 4E,"The ""Tatsumi"" Burger"
291,2A 4E,Definitivo Chili Dog
292,2B 4E,Cola
293,2C 4E,OJ
294,2D 4E,Coffee
295,2E 4E,House Blend
296,2F 4E,Minestrone
297,30 4E,Corn Chowder
298,31 4E,Bouillabaisse
299,32 4E,Pumpkin Soup
300,33 4E,Shoyu Ramen
301,34 4E,Miso Ramen
302,35 4E,Shio Ramen
303,36 4E,Tonkotsu Ramen
304,37 4E,Shadow Steak Ramen
305,38 4E,Mystic Ramen
306,39 4E,Absolute Shadow Ramen
307,3A 4E,Insta-noodles
308,3B 4E,HP Tablets
309,3C 4E,ATK Capsules
310,3D 4E,DEF Medicine
311,3E 4E,Sync Bar
312,3F 4E,Ginseng
313,40 4E,Curious Mushrooms
314,41 4E,Cordyceps
315,42 4E,Viper Drink
316,43 4E,Royal Jelly Q10
317,44 4E,Mako Sinnergy
318,45 4E,BRAVE+
319,46 4E,Vanilla Soft Serve
320,47 4E,Soft Serve Swirl
321,48 4E,Pancakes
322,49 4E,Crepe
323,4A 4E,Gourmet Rice Ball
