Number,Hex value,Name_EN,Type
13,1C 27,Beach Sandals,Footwear
31,2E 27,Knee-high Boots,Footwear
32,2F 27,Cowboy Boots (Red),Footwear
50,41 27,Work Boots,Footwear
51,42 27,Purple Sneaks,Footwear
52,43 27,Custom Sneaks,Footwear
53,44 27,White Rubbersoles,Footwear
75,5A 27,Ribbon Shoes,Footwear
76,5B 27,Platform Shoes,Footwear
90,69 27,"A Flash, A Spark",Footwear
91,6A 27,"One Man, No Equals",Footwear
92,6B 27,Old Wisdom Made New,Footwear
93,6C 27,Typhoon,Footwear
112,7F 27,Let's Dance,Footwear
113,80 27,Young American,Footwear
121,88 27,Classic Half-boots,Footwear
122,89 27,Crimson Stilettos,Footwear
166,B5 27,Aun,Footwear
167,B6 27,Gekirin,Footwear
202,D9 27,Simple Mules,Footwear
203,DA 27,Blossom Mules,Footwear
204,DB 27,Enamel Pumps,Footwear
