Number,Hex value,Name_EN,Type
1,10 27,M Cap,Headwear
19,22 27,Stronger Cap,Headwear
20,23 27,Star Cap,Headwear
21,24 27,Knit Casquette,Headwear
60,4B 27,Lace Bonnet,Headwear
61,4C 27,Ribbon Bonnet,Headwear
62,4D 27,Ribbon Mini-hat,Headwear
63,4E 27,Mini-crown,Headwear
94,6D 27,Dandy Hat,Headwear
154,A9 27,Wadatsumi,Headwear
155,AA 27,Fudo,Headwear
185,C8 27,Silver Screen Sweetheart,Headwear
186,C9 27,Silver Screen Starlet,Headwear
207,DE 27,Seattle,Headwear
208,DF 27,San Francisco,Headwear
209,E0 27,Las Vegas,Headwear
210,E1 27,Chicago,Headwear
211,E2 27,New York,Headwear
238,FD 27,Pi-Face's Cap,Headwear
247,06 28,Your Cap,Headwear
260,13 28,Samurai Wig,Headwear
263,16 28,Pirate Hat,Headwear
271,1E 28,Supermask's Mask,Headwear
273,20 28,Samurai Helm,Headwear
