Number,Hex value,Name_EN,Type
12,1B 27,Green Warm-ups,Top & Bottom
71,56 27,Double-breasted Suit,Top & Bottom
72,57 27,Lace-up Dress,Top & Bottom
73,58 27,Ribbon-laced Dress,Top & Bottom
74,59 27,Vampire Dress,Top & Bottom
88,67 27,Sun Emperor,Top & Bottom
89,68 27,Dragon Lady,Top & Bottom
117,84 27,Cocktail Queen,Top & Bottom
118,85 27,Regal Presence,Top & Bottom
119,86 27,Tweed Gentleman,Top & Bottom
120,87 27,Lavender Lotus,Top & Bottom
199,D6 27,My Favorite One-piece,Top & Bottom
200,D7 27,Angelic One-piece,Top & Bottom
201,D8 27,Lovely One-piece,Top & Bottom
224,EF 27,Denim Coveralls,Top & Bottom
225,F0 27,Work Coveralls,Top & Bottom
242,01 28,Iron Maiden's One-piece,Top & Bottom
250,09 28,Gakuran,Top & Bottom
251,0A 28,Sailor Suit,Top & Bottom
252,0B 28,Boys' Uniform with Blazer,Top & Bottom
253,0C 28,Girls' Uniform with Blazer,Top & Bottom
254,0D 28,Girls' Uniform with Sweater,Top & Bottom
255,0E 28,Head Honcho,Top & Bottom
256,0F 28,Yukata,Top & Bottom
257,10 28,The Dead Slammurai,Top & Bottom
258,11 28,The Black Slammurai,Top & Bottom
261,14 28,Mr. Mew Suit,Top & Bottom
265,18 28,Mr. Claus,Top & Bottom
266,19 28,Mrs. Claus,Top & Bottom
270,1D 28,Maid Costume,Top & Bottom
272,1F 28,Ninja Garb,Top & Bottom
274,21 28,Samurai Armor,Top & Bottom
