Number,Hex value,Name_EN,Type
2,11 27,Yellow Tee,Top
3,12 27,Mowzy Tee (Red),Top
4,13 27,Mint Polo,Top
5,14 27,Runner's Tank,Top
6,15 27,Mowzy Sweatshirt,Top
7,16 27,Brown Baby Tee,Top
8,17 27,Pink Blouse,Top
9,18 27,Peach Turtleneck,Top
22,25 27,Svelte Parka,Top
23,26 27,Denim Blouse,Top
24,27 27,Cupid Tee,Top
25,28 27,Satin Camisole,Top
26,29 27,Vest-Blouse Combo,Top
37,34 27,Biker Jacket,Top
38,35 27,Patchy Biker Jacket,Top
39,36 27,Cotton Biker Vest,Top
40,37 27,Tiger Biker Vest,Top
41,38 27,Fitted Coat,Top
42,39 27,Tartan Coat,Top
43,3A 27,Pink Gauze Shirt,Top
44,3B 27,Grey Gauze Shirt,Top
45,3C 27,Black Raglan Tee,Top
46,3D 27,Blue Raglan Tee,Top
64,4F 27,Goth Bondage Coat,Top
65,50 27,Asymmetric Jersey,Top
66,51 27,Spiderweb Jersey,Top
67,52 27,Bunny Parka,Top
68,53 27,Shirt & Arm Warmers,Top
81,60 27,White Dragon,Top
82,61 27,Light and Shadow,Top
83,62 27,Yin Blazer,Top
84,63 27,Midnight Thoughts,Top
85,64 27,Plum Blossom,Top
86,65 27,Vernal Equinox,Top
87,66 27,Autumn Dragon,Top
95,6E 27,Zephyr's Elegy,Top
96,6F 27,Tree Leaf Serenade,Top
97,70 27,Dappled Light Waltz,Top
98,71 27,Zephyr's Sonata,Top
99,72 27,North Wind Concerto,Top
100,73 27,Spring Breeze Rhapsody,Top
101,74 27,Sky Blue Paean,Top
102,75 27,High Sun Paean,Top
103,76 27,Sunflower,Top
104,77 27,Hydrangea,Top
105,78 27,Tulip,Top
106,79 27,Sunshine One-piece,Top
107,7A 27,Flower One-piece,Top
129,90 27,Pitter Patter Plaid,Top
130,91 27,Frilly Camisole,Top
131,92 27,Aqua Puffy Blouse,Top
132,93 27,Retro Dot One-piece,Top
133,94 27,Easy Breezy Dress,Top
134,95 27,Green With Envy,Top
135,96 27,Lemon Sherbert,Top
136,97 27,Mint Ice Cream,Top
137,98 27,Spangle Sorbet,Top
138,99 27,Iris Gelato,Top
139,9A 27,Strawberry Chocolate,Top
140,9B 27,Mint Choco-chip,Top
156,AB 27,Dharma,Top
157,AC 27,Suiten,Top
158,AD 27,Haramitsu,Top
159,AE 27,Amida,Top
160,AF 27,Ashura,Top
161,B0 27,Brahma,Top
162,B1 27,Komokuten,Top
163,B2 27,Togenkyo,Top
187,CA 27,Plain Shirt,Top
188,CB 27,Negative Polo,Top
189,CC 27,Positive Polo,Top
190,CD 27,Pink Stripe,Top
191,CE 27,Black Stripe,Top
192,CF 27,Lovely Camisole,Top
193,D0 27,White Cache-coeur,Top
194,D1 27,Chic Black Turtleneck,Top
195,D2 27,Midday Kitten Knit,Top
212,E3 27,Negotiator,Top
213,E4 27,Hey Boy,Top
214,E5 27,Hey Girl,Top
215,E6 27,Hey Everybody,Top
216,E7 27,Alive,Top
217,E8 27,Sabotage,Top
218,E9 27,3 MC's 1 DJ,Top
219,EA 27,Pass the Mic,Top
232,F7 27,TWEWY Promo Coat,Top
233,F8 27,TWEWY Promo Tee,Top
236,FB 27,Lollipop's Parka,Top
239,FE 27,Pi-Face's Coat,Top
275,22 28,Fan of the Rising Sun,Top
